code,blocked_by_stripe,classification,requires_card_update,recommended_action,test_card_number,guide_url,source_url,verified_on
authentication_required,true,hard_decline,false,Trigger an authentication flow. The customer can pay once authenticated.,,https://recoverflow.org/blog/stripe-authentication-required-recovery/,https://docs.stripe.com/billing/revenue-recovery/smart-retries#non-retryable-decline-codes,2026-08-16
card_declined,false,soft_decline,false,"Read the decline_code for the reason. card_declined is the error code Stripe returns alongside a decline code, not a decline code itself.",4000000000000002,,,
card_velocity_exceeded,false,soft_decline,false,The customer should contact their issuer or use a different payment method.,,https://recoverflow.org/blog/stripe-card-velocity-exceeded/,https://docs.stripe.com/declines/codes,2026-08-16
do_not_honor,false,soft_decline,false,The customer needs to contact their card issuer.,,https://recoverflow.org/blog/do-not-honor-stripe-decline/,https://docs.stripe.com/declines/codes,2026-08-16
expired_card,false,soft_decline,true,The customer needs to use a different card.,4000000000000069,https://recoverflow.org/blog/expired-card-stripe-retries/,https://docs.stripe.com/declines/codes,2026-08-16
fraudulent,false,hard_decline,false,Present as a generic decline. Do not disclose the reason.,,https://recoverflow.org/blog/stripe-fraudulent-decline-code/,https://docs.stripe.com/declines/codes,2026-08-16
generic_decline,false,soft_decline,false,The customer needs to contact their card issuer.,4000000000000002,https://recoverflow.org/blog/stripe-generic-decline-code/,https://docs.stripe.com/declines/codes,2026-08-16
highest_risk_level,true,hard_decline,false,Present as a generic decline. Do not disclose the reason.,,,https://docs.stripe.com/billing/revenue-recovery/smart-retries#non-retryable-decline-codes,2026-08-16
incorrect_cvc,false,soft_decline,true,The customer should retry with the correct CVC.,4000000000000127,https://recoverflow.org/blog/stripe-incorrect-cvc-decline/,https://docs.stripe.com/declines/codes,2026-08-16
incorrect_number,true,hard_decline,true,The customer should retry with the correct card number.,4242424242424241,https://recoverflow.org/blog/stripe-incorrect-number-vs-invalid-number/,https://docs.stripe.com/billing/revenue-recovery/smart-retries#non-retryable-decline-codes,2026-08-16
insufficient_funds,false,soft_decline,false,The customer should use an alternative payment method.,4000000000009995,https://recoverflow.org/blog/is-insufficient-funds-a-hard-decline/,https://docs.stripe.com/declines/codes,2026-08-16
invalid_expiry_month,false,soft_decline,true,The customer should retry with the correct expiry date.,,,https://docs.stripe.com/declines/codes,2026-08-16
invalid_expiry_year,false,soft_decline,true,The customer should retry with the correct expiry date.,,,https://docs.stripe.com/declines/codes,2026-08-16
lost_card,true,hard_decline,true,Present as a generic decline. Do not disclose the reason.,4000000000009987,https://recoverflow.org/blog/stripe-lost-card-stolen-card-declines/,https://docs.stripe.com/billing/revenue-recovery/smart-retries#non-retryable-decline-codes,2026-08-16
merchant_blacklist,false,hard_decline,false,Present as a generic decline. Do not disclose the reason.,,,https://docs.stripe.com/declines/codes,2026-08-16
pickup_card,true,hard_decline,true,Present as a generic decline. The customer should contact their issuer.,,https://recoverflow.org/blog/stripe-pickup-card-vs-restricted-card/,https://docs.stripe.com/billing/revenue-recovery/smart-retries#non-retryable-decline-codes,2026-08-16
processing_error,false,soft_decline,false,"Attempt the payment again. If it persists, retry later.",4000000000000119,https://recoverflow.org/blog/stripe-processing-error-decline/,https://docs.stripe.com/declines/codes,2026-08-16
restricted_card,false,hard_decline,false,Present as a generic decline. The customer should contact their issuer.,,https://recoverflow.org/blog/stripe-pickup-card-vs-restricted-card/,https://docs.stripe.com/declines/codes,2026-08-16
revocation_of_all_authorizations,true,hard_decline,false,The customer needs to contact their card issuer.,,,https://docs.stripe.com/billing/revenue-recovery/smart-retries#non-retryable-decline-codes,2026-08-16
revocation_of_authorization,true,hard_decline,false,The customer needs to contact their card issuer.,,,https://docs.stripe.com/billing/revenue-recovery/smart-retries#non-retryable-decline-codes,2026-08-16
security_violation,false,hard_decline,false,The customer needs to contact their card issuer.,,,https://docs.stripe.com/declines/codes,2026-08-16
stolen_card,true,hard_decline,true,Present as a generic decline. Do not disclose the reason.,4000000000009979,https://recoverflow.org/blog/stripe-lost-card-stolen-card-declines/,https://docs.stripe.com/billing/revenue-recovery/smart-retries#non-retryable-decline-codes,2026-08-16
transaction_not_allowed,true,hard_decline,false,The customer needs to contact their card issuer.,,https://recoverflow.org/blog/stripe-transaction-not-allowed-decline/,https://docs.stripe.com/billing/revenue-recovery/smart-retries#non-retryable-decline-codes,2026-08-16
try_again_later,false,soft_decline,false,Attempt the payment again. If it persists the customer should contact their issuer.,,https://recoverflow.org/blog/stripe-try-again-later-decline/,https://docs.stripe.com/declines/codes,2026-08-16
